"","THETA_of_Seurat","THETA_of_cc_gene_test","THETA_of_GO0007049","THETA_of_cyclebase3.0"
"hela1_SC1",2.59339845928936,2.59608194014808,-1.56080758673971,2.02811194815869
"hela1_SC2",-2.15531850338759,-2.13419657517398,-2.88741376256929,-1.79868596852368
"hela1_SC3",2.36294657359444,2.49783148608282,2.27931634206594,2.93172082969162
"hela1_SC4",-0.0264086978417329,-0.0415865261248683,-1.67631273748375,-0.159324477400571
"hela1_SC7",0.708139683083654,0.922797813636372,-2.36991411147248,1.06836133088925
"hela1_SC9",3.12389087237141,-3.0299443089352,3.05611358756508,3.12140712531125
"hela1_SC10",-0.0786654144274774,-0.0550704953771522,-1.03517362585104,-0.387761108038012
"hela1_SC11",2.92587383053882,2.96398832749491,3.07087864777955,2.97956640901911
"hela1_SC12",-0.601981432259888,-0.599595240143309,-0.147145531331905,-0.375834236842587
"hela1_SC13",-0.046915853034993,-0.0133504055968053,-1.97933719572648,-0.508685963668772
"hela1_SC14",0.23458800564458,0.250849910537906,-0.571696587661733,0.590500580512254
"hela1_SC16",0.343318471218447,0.449002215102441,-0.489656503937336,0.60373089045778
"hela1_SC17",-2.52629960969185,-2.50050372793957,-2.41868619890429,-2.85582283801571
"hela1_SC18",2.32941861403691,2.35162720488492,-1.78956878861457,2.61512906468753
"hela1_SC19",1.63948660468331,1.98297472755609,-1.90919556951753,2.09990197781215
"hela1_SC20",-0.64155189088557,-0.644661660691932,0.332104868862157,-0.740455556853745
"hela1_SC21",-0.0695569290447039,-0.00327829948232103,-0.621741450989662,-0.303829867577474
"hela1_SC22",-0.15904552108246,-0.140398577885159,-2.58662486997337,-0.647946791760801
"hela1_SC24",-0.463988453378148,-0.397120433599442,-1.06985574584679,-0.0262444970699836
"hela1_SC25",-2.76280192662529,-2.61635269628922,-2.72116976524269,-2.66109888075481
"hela1_SC26",-3.0656777348499,-2.87947819630568,0.0683647654424881,1.61693379909589
"hela1_SC27",-0.00137499720962104,0.015832847135904,-1.1032419326182,0.0100797330456923
"hela1_SC28",0.23372294523048,0.485430739528558,-1.69957859680796,-0.239288239602869
"hela1_SC29",2.85704153227636,3.04483160170841,2.69300385546317,1.92486459023239
"hela1_SC30",-0.184718912521868,-0.126908949128856,-1.05794562514511,-0.680447761088661
"hela1_SC31",-3.00434927446027,-3.0064532097524,2.6164867241409,-3.10499909796006
"hela1_SC32",0.486670311549586,0.454606068386341,-2.10755139021702,0.218273058347257
"hela1_SC33",-0.0435373700461511,-0.0521251424799445,-1.21679724629656,-0.0750929691854555
"hela1_SC35",-2.97732523087936,-3.13508168224999,2.77747345648315,-2.96162422963125
"hela1_SC36",-2.10402936456751,-1.85649205326114,3.10748976818097,-2.42468177852681
"hela1_SC37",0.37776383918483,0.430373212967897,-0.135266058726881,0.374637832238178
"hela1_SC38",0.506094467228137,0.539759868321921,-0.09813343808714,0.593649728674035
"hela1_SC39",-0.144139525829309,-0.120633699686161,-1.89184671417947,-0.743314659882608
"hela1_SC40",-0.651341266176521,-0.670168018732795,-0.425739318823207,-1.08128583080023
"hela1_SC41",-1.26660067563786,-1.52906156530194,-2.94457002819831,-1.57614340779168
"hela1_SC42",1.06162018236786,1.39579485735261,2.70802451184878,2.11063186217401
"hela1_SC43",1.2521781882185,1.48368602535847,2.88207868154478,1.77201584531718
"hela1_SC44",1.37688685087823,1.618218943016,2.2625865355122,1.38652110808858
"hela1_SC45",-0.205139148240232,-0.319226667782766,-2.86973461231574,-0.645131811524754
"hela1_SC46",2.76394797511994,2.68929015391461,2.72755424351629,-3.13708765394087
"hela1_SC47",-2.19900537059278,-1.85291753300633,0.751104280246802,-1.83765412957474
"hela1_SC48",-0.616971891492112,-0.579426265521352,-2.56642662807219,-1.1623896661647
"hela1_SC49",-2.58080748637116,-2.62011583088588,2.29030948600679,-2.12381993477154
"hela1_SC50",2.92160999835693,2.90960309449086,2.69510544310047,2.99757348099613
"hela1_SC51",-3.01638093374365,-2.99092073270937,3.09285330249663,-2.97972114963219
"hela1_SC52",2.86339356665513,3.02117312321083,1.8989827388231,2.88027411051394
"hela1_SC53",0.257063997782334,0.42523672996267,-2.04191922825482,0.134097917136533
"hela1_SC54",2.72233496692223,2.74356480301181,1.4465566103999,2.6780169636493
"hela1_SC55",-0.662529012774904,-0.492604095182223,3.01621745944249,-1.0892335053822
"hela1_SC57",0.0375414114533313,0.186728609867715,2.27806197220166,0.0828114149205557
"hela1_SC58",2.57927686139238,2.67005891831461,2.58423011799278,2.44851017415742
"hela1_SC59",1.38302557862141,1.63840315029049,-1.12542537932038,1.46623664995027
"hela1_SC60",2.17998584396242,2.17255699380107,1.56909099006342,2.18478886236569
"hela1_SC61",-3.12064823296832,3.1323006261669,2.05839422468754,-3.09575254656261
"hela1_SC62",-0.188275696634731,-0.21736628230529,-0.753925621553756,-0.0763882820486202
"hela1_SC63",-2.46676149954679,-2.40682523831286,0.116609359639266,-2.16525945006493
"hela1_SC64",2.86589475273257,2.82959604155219,2.88045454327859,2.8100690328319
"hela1_SC65",0.426197278881354,0.464324687204527,-0.200260986635535,0.484134569301775
"hela1_SC66",-1.94289095546338,-1.85311311220592,2.71597030915386,-1.52965431309771
"hela1_SC67",0.451597275189381,0.480695572264026,-1.19593406401738,0.71300047246005
"hela1_SC68",-0.0981764552363856,-0.119808175676112,-0.430443723006845,-0.0110063828928991
"hela1_SC69",-2.72483684076489,-2.69326397875304,-3.07219000668324,-2.48374960892481
"hela1_SC70",-0.127112328695532,-0.235148315006025,-0.0310330556251475,-0.165273097794749
"hela1_SC71",2.41718191903814,2.5389584990199,2.29359646726332,2.16604229625731
"hela1_SC72",0.327322309827365,0.449203680470845,0.960726625538969,0.508051697072252
"hela1_SC74",0.610731335544124,0.658464901691436,-1.04888901940338,0.3524025735061
"hela1_SC75",-2.77176353241499,-2.71606044576075,2.46968529064687,-1.88733955597814
